csv-file,title,author,journal,publisher,url,doi,month,year
articles,Subspace benchmarking high-fidelity entangling operations with trapped ions,"Baldwin, C. H. and Bjork, B. J. and Gaebler, J. P. and Hayes, D. and Stack, D.",Phys. Rev. Research,American Physical Society,https://link.aps.org/doi/10.1103/PhysRevResearch.2.013317,10.1103/PhysRevResearch.2.013317,3,2020
articles,Eliminating Leakage Errors in Hyperfine Qubits,"Hayes, D. and Stack, D. and Bjork, B. and Potter, A. C. and Baldwin, C. H. and Stutz, R. P.",Phys. Rev. Lett.,American Physical Society,https://link.aps.org/doi/10.1103/PhysRevLett.124.170501,10.1103/PhysRevLett.124.170501,4,2020
articles,High-fidelity light-shift gate for clock-state qubits,"Baldwin, C. H. and Bjork, B. J. and Foss-Feig, M. and Gaebler, J. P. and Hayes, D. and Kokish, M. G. and Langer, C. and Sedlacek, J. A. and Stack, D. and Vittorini, G.",Phys. Rev. A,American Physical Society,https://link.aps.org/doi/10.1103/PhysRevA.103.012603,10.1103/PhysRevA.103.012603,1,2021
articles,Demonstration of the trapped-ion quantum CCD computer architecture,"Pino, J. M. and Dreiling, J. M. and Figgatt, C. and Gaebler, J. P. and Moses, S. A. and Allman, M. S. and Baldwin, C. H.  and Foss-Feig, M. and Hayes, D. and Mayer, K. and Ryan-Anderson, C. and Neyenhuis, B.",Nature,Nature,https://www.nature.com/articles/s41586-021-03318-4,https://doi.org/10.1038/s41586-021-03318-4,4,2021
articles,Holographic quantum algorithms for simulating correlated spin systems,"Foss-Feig, Michael and Hayes, David and Dreiling, Joan M. and Figgatt, Caroline and Gaebler, John P. and Moses, Steven A. and Pino, Juan M. and Potter, Andrew C.",Phys. Rev. Research,American Physical Society,https://link.aps.org/doi/10.1103/PhysRevResearch.3.033002,10.1103/PhysRevResearch.3.033002,7,2021
articles,Theory of mirror benchmarking and demonstration on a quantum computer,"Mayer, Karl and Hall, Alex and Gatterman, Thomas and Halit, Si Khadir and Lee, Kenny and Bohnet, Justin and Gresh, Dan and Hankin, Aaron and Gilmore, Kevin and Gaebler, John",,arXiv,https://arxiv.org/abs/2108.10431,10.48550/ARXIV.2108.10431,8,2021
articles,A short note on the 0-fidelity,"Mayer, Karl",,arXiv,https://arxiv.org/abs/2109.09629,10.48550/ARXIV.2109.09629,9,2021
articles,Suppression of midcircuit measurement crosstalk errors with micromotion,"Gaebler, J. P. and Baldwin, C. H. and Moses, S. A. and Dreiling, J. M. and Figgatt, C. and Foss-Feig, M. and Hayes, D. and Pino, J. M.",Physical Review A,American Physical Society,https://doi.org/10.1103%2Fphysreva.104.062440,10.1103/physreva.104.062440,12,2021
articles,Realization of Real-Time Fault-Tolerant Quantum Error Correction,"Ryan-Anderson, C. and Bohnet, J. G. and Lee, K. and Gresh, D. and Hankin, A. and Gaebler, J. P. and Francois, D. and Chernoguzov, A. and Lucchetti, D. and Brown, N. C. and Gatterman, T. M. and Halit, S. K. and Gilmore, K. and Gerber, J. A. and Neyenhuis, B. and Hayes, D. and Stutz, R. P.",Phys. Rev. X,American Physical Society,https://link.aps.org/doi/10.1103/PhysRevX.11.041058,10.1103/PhysRevX.11.041058,12,2021
articles,"Re-examining the quantum volume test: Ideal distributions, compiler optimizations, confidence intervals, and scalable resource estimations","Baldwin, Charles H. and Mayer, Karl and Brown, Natalie C. and Ryan-Anderson, Ciaran and Hayes, David",Quantum,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,https://doi.org/10.22331/q-2022-05-09-707,10.22331/q-2022-05-09-707,5,2022
articles,Transport of multispecies ion crystals through a junction in an RF Paul trap,William Cody Burton and Brian Estey and Ian M. Hoffman and Abigail R. Perry and Curtis Volin and Gabriel Price,,arXiv,https://arxiv.org/abs/2206.11888,2206.11888/ARXIV.2206.11888,6,2022
